Date,Open,High,Low,Close,Volume
12/20/2018 15:00,108.4,110.06,107.91,108.58,6410.86
12/20/2018 16:00,108.58,116.21,108.2,115.47,18814.44
12/20/2018 17:00,115.47,117,112.88,113.94,14015.47
12/20/2018 18:00,113.94,114.36,112.08,112.24,10068.66
12/20/2018 19:00,112.24,113.86,112.22,112.61,6057.95
12/20/2018 20:00,112.61,113.2,108.38,108.91,5196.33
12/20/2018 21:00,108.91,114.2,108.91,114.2,9456.58
12/20/2018 22:00,114.2,115,112.05,113.51,5793.26
12/20/2018 23:00,113.51,115.1,112.86,114.54,4672.38
12/21/2018 0:00,114.54,114.54,110.96,114.42,3581.45
12/21/2018 1:00,114.42,118.94,113.18,117.4,4077.89
12/21/2018 2:00,117.4,118.02,113.69,115.69,3319.16
12/21/2018 3:00,115.69,115.82,112.5,114.25,3282.42
12/21/2018 4:00,114.25,114.35,112.16,113.19,1533.02
12/21/2018 5:00,113.19,113.41,109.74,111.6,2373.77
12/21/2018 6:00,111.6,113.52,111.39,112.96,1180.79
12/21/2018 7:00,112.96,114.02,112,113.94,1924.91
12/21/2018 8:00,113.94,116.4,113.92,115.2,5058.2
12/21/2018 9:00,115.2,115.51,113,113.22,3492.62
12/21/2018 10:00,113.22,115.01,112.36,114.44,1869.2
12/21/2018 11:00,114.44,115.9,114.16,115.45,2449.27
12/21/2018 12:00,115.45,117.11,113.62,115.82,3555.74
12/21/2018 13:00,115.82,116.96,114.89,115.71,8728.41
12/21/2018 14:00,115.71,116.09,113.69,114.57,7129.82
12/21/2018 15:00,114.57,114.73,111,111.96,4035.17
12/21/2018 16:00,111.96,113.56,110.25,110.35,4045.76
12/21/2018 17:00,110.35,111.31,107.91,108.98,5238.2
12/21/2018 18:00,108.98,109.44,107.61,108.77,3660.95
12/21/2018 19:00,108.77,110,106.11,106.82,4789.58
12/21/2018 20:00,106.82,107.59,105.05,106.21,3489.33
12/21/2018 21:00,106.21,108.92,105.54,107.99,3849.46
12/21/2018 22:00,107.99,108.44,107.16,107.51,465.67
12/21/2018 23:00,107.51,108.34,106.99,107.71,907.05
12/22/2018 0:00,107.71,108.79,107.57,107.94,511.48
12/22/2018 1:00,107.94,108.14,106.64,107.17,808.03
12/22/2018 2:00,107.17,107.49,106.11,107.49,770.97
12/22/2018 3:00,107.49,107.71,106.98,106.99,192.24
